Team,JerseyNo,Player,Position,Apearances,Substitutions,Goals,Penalties,YellowCards,RedCards
Manchester City,6,Nathan Aké,Defender,19,8,3,0,2.0,0.0
Manchester City,20,Bernardo Silva,Midfielder/Forward,46,4,13,0,6.0,0.0
Manchester City,94,Finley Burns,Defender,1,0,0,0,0.0,0.0
Manchester City,33,Scott Carson,Goalkeeper,0,1,0,0,0.0,0.0
Manchester City,17,Kevin De Bruyne,Midfielder/Forward,39,6,19,1,4.0,0.0
Manchester City,48,Liam Delap,Forward,0,3,0,0,0.0,0.0
Manchester City,31,Ederson,Goalkeeper,49,0,0,0,4.0,0.0
Manchester City,53,Sam Edozie,Midfielder/Forward,1,0,0,0,0.0,0.0
Manchester City,56,CJ Egan-Riley,Defender/Midfielder,2,1,0,0,0.0,0.0
Manchester City,25,Fernandinho,Defender/Midfielder,17,16,2,0,5.0,0.0
Manchester City,21,Ferran Torres,Midfielder/Forward,7,0,3,0,0.0,0.0
Manchester City,47,Phil Foden,Midfielder/Forward,36,9,14,0,2.0,0.0
Manchester City,9,Gabriel Jesus,Forward,28,13,13,1,5.0,0.0
Manchester City,10,Jack Grealish,Midfielder/Forward,31,8,6,0,3.0,0.0
Manchester City,8,İlkay Gündogan,Midfielder,32,11,10,0,2.0,0.0
Manchester City,27,João Cancelo,Defender,51,1,3,0,10.0,0.0
Manchester City,37,Kayky,Forward,0,2,0,0,0.0,0.0
Manchester City,96,Ben Knight,Midfielder,0,1,0,0,0.0,0.0
Manchester City,14,Aymeric Laporte,Defender,43,1,4,0,7.0,1.0
Manchester City,90,Roméo Lavia,Midfielder,1,1,0,0,1.0,0.0
Manchester City,26,Riyad Mahrez,Midfielder/Forward,31,16,24,7,1.0,0.0
Manchester City,79,Luke Mbete-Tabu,Defender,1,2,0,0,0.0,0.0
Manchester City,87,James McAtee,Midfielder,0,6,0,0,1.0,0.0
Manchester City,22,Benjamin Mendy,Defender,2,0,0,0,0.0,0.0
Manchester City,80,Cole Palmer,Midfielder/Forward,4,7,3,0,0.0,0.0
Manchester City,16,Rodri,Midfielder,45,1,7,0,8.0,0.0
Manchester City,3,Rúben Dias,Defender,37,3,2,0,6.0,0.0
Manchester City,13,Zack Steffen,Goalkeeper,9,0,0,0,1.0,0.0
Manchester City,7,Raheem Sterling,Midfielder/Forward,32,15,17,2,2.0,0.0
Manchester City,5,John Stones,Defender,24,3,2,0,1.0,0.0
Manchester City,2,Kyle Walker,Defender,31,0,1,0,3.0,1.0
Manchester City,97,Josh Wilson-Esbrand,Defender,1,0,0,0,0.0,0.0
Manchester City,11,Olexsandr Zinchenko,Defender/Midfielder,18,10,0,0,2.0,0.0
