Date,Teams_Result,JerseyNo,Player,Position,Goals,Penalties,YellowCards,RedCards,IsSubstitute,Temperature,Humidity,Precipitation,WindSpeed,Pressure,Position_Encoded,Match_Result,Match_Result_Encoded,Player_Avg_Goals,Substitute_Goals_Interaction,Weather_Condition
2021-08-21,Manchester City 5:0 Norwich City,14,Aymeric Laporte,Defender,0,0,1,0,0,0.9999999999999999,1.0,0.0,0.37331081081081097,0.7542888765910347,0,Win,2,,0,1.0
2021-09-11,Leicester City 0:1 Manchester City,14,Aymeric Laporte,Defender,1,0,1,0,0,0.7481481481481481,0.6896551724137931,0.0,0.8876689189189192,0.5531267293857222,0,Win,2,0.0,0,0.5991439148542343
2021-09-18,Manchester City 0:0 Southampton,14,Aymeric Laporte,Defender,0,0,1,0,0,0.7481481481481481,0.6896551724137931,0.0,0.8876689189189192,0.5531267293857222,0,Draw,0,0.5,0,0.5991439148542343
2021-10-03,Liverpool 2:2 Manchester City,14,Aymeric Laporte,Defender,0,0,0,0,0,0.3580246913580245,0.34482758620689663,0.15384615384615385,0.9667792792792796,0.2335362479247371,0,Draw,0,0.3333333333333333,0,0.21945001456801547
2021-10-03,Liverpool 2:2 Manchester City,14,Aymeric Laporte,Defender,0,0,0,0,1,0.3580246913580245,0.34482758620689663,0.15384615384615385,0.9667792792792796,0.2335362479247371,0,Draw,0,0.25,0,0.21945001456801547
2021-10-16,Manchester City 2:0 Burnley,14,Aymeric Laporte,Defender,0,0,0,0,0,0.3580246913580245,0.34482758620689663,0.15384615384615385,0.9667792792792796,0.2335362479247371,0,Win,2,0.2,0,0.21945001456801547
2021-10-23,Brighton and Hove Albion 1:4 Manchester City,14,Aymeric Laporte,Defender,0,0,0,0,0,0.3580246913580245,0.34482758620689663,0.15384615384615385,0.9667792792792796,0.2335362479247371,0,Win,2,0.16666666666666666,0,0.21945001456801547
2021-10-30,Manchester City 0:2 Crystal Palace,14,Aymeric Laporte,Defender,0,0,0,0,0,0.3580246913580245,0.34482758620689663,0.15384615384615385,0.9667792792792796,0.2335362479247371,0,Loss,1,0.14285714285714285,0,0.21945001456801547
2021-11-21,Manchester City 3:0 Everton,14,Aymeric Laporte,Defender,0,0,0,0,0,0.01975308641975293,0.09717868338558,0.7179487179487181,1.0000000000000002,0.0,0,Win,2,0.125,0,0.02776492364645998
2021-12-11,Manchester City 1:0 Wolverhampton Wanderers,14,Aymeric Laporte,Defender,0,0,1,0,0,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,0,Win,2,0.1111111111111111,0,0.006427065658902789
2021-12-26,Manchester City 6:3 Leicester City,14,Aymeric Laporte,Defender,1,0,0,0,0,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,0,Win,2,0.1,0,0.006427065658902789
2021-12-29,Brentford 0:1 Manchester City,14,Aymeric Laporte,Defender,0,0,0,0,0,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,0,Win,2,0.18181818181818182,0,0.006427065658902789
2022-02-09,Manchester City 2:0 Brentford,14,Aymeric Laporte,Defender,0,0,0,0,0,0.17160493827160483,0.0,0.641025641025641,0.8139076576576579,0.31322634200332045,0,Win,2,0.16666666666666666,0,0.01591127221622364
2022-02-12,Norwich City 0:4 Manchester City,14,Aymeric Laporte,Defender,0,0,1,0,0,0.17160493827160483,0.0,0.641025641025641,0.8139076576576579,0.31322634200332045,0,Win,2,0.15384615384615385,0,0.01591127221622364
2022-02-19,Manchester City 2:3 Tottenham Hotspur,14,Aymeric Laporte,Defender,0,0,0,0,0,0.17160493827160483,0.0,0.641025641025641,0.8139076576576579,0.31322634200332045,0,Loss,1,0.14285714285714285,0,0.01591127221622364
2022-02-26,Everton 0:1 Manchester City,14,Aymeric Laporte,Defender,0,0,0,0,0,0.17160493827160483,0.0,0.641025641025641,0.8139076576576579,0.31322634200332045,0,Win,2,0.13333333333333333,0,0.01591127221622364
2022-04-02,Burnley 0:2 Manchester City,14,Aymeric Laporte,Defender,0,0,1,0,0,0.5074074074074074,0.18808777429467094,0.41025641025641024,0.0,0.7844493635860541,0,Win,2,0.125,0,0.17376857421975425
2022-04-10,Manchester City 2:2 Liverpool,14,Aymeric Laporte,Defender,0,0,1,0,0,0.5074074074074074,0.18808777429467094,0.41025641025641024,0.0,0.7844493635860541,0,Draw,0,0.11764705882352941,0,0.17376857421975425
